id,problem name,description,constraints,examples,difficulty level,date-time
92,Milk Delivery Warning System,"A milkman delivers N liters of milk each day for D days. If the milk supplied on any day is less than 5 liters, print a warning for that day.",1 ≤ N ≤ 100; 1 ≤ D ≤ 30,"[
  {
    ""input"": ""Enter milk supplied for each day over 7 days (in liters): 5 6 4 7 3 8 5"",
    ""output"": ""Day 3: Warning - Less than 5 liters\nDay 5: Warning - Less than 5 liters""
  }
]",Easy,
93,Dog Feeding Schedule Calculator,"A dog eats k times a day. Given the total number of meals M, find how many full days the food is sufficient and how many meals will remain afterward.","1 ≤ M, k ≤ 1000","[
  {
    ""input"": ""Enter total number of meals and meals per day: 20 3"",
    ""output"": ""Full Days: 6\nRemaining Meals: 2""
  }
]",Easy,
94,Book Reading Duration Calculator,A book has P pages. Rahul reads R pages every day. Find how many days it will take to finish the book and handle any abnormal cases.,"1 ≤ P, R ≤ 10^5","[
  {
    ""input"": ""Enter total pages in the book and pages Rahul reads per day: 100 15"",
    ""output"": ""Rahul will finish the book in 7 days.""
  }
]",Easy,
95,Car Trip Feasibility Checker,"A car consumes 1 liter of fuel per 15 km. Given K kilometers to travel and F liters of fuel, check if the car can complete the trip.",1 ≤ K ≤ 10^5; 1 ≤ F ≤ 1000,"[
  {
    ""input"": ""Enter distance to travel (in km) and available fuel (in liters): 150 10"",
    ""output"": ""Yes, the car can complete the trip.""
  }
]",Easy,
96,Calorie Intake Monitor,"Rita tracks her calorie intake over 7 days. If on any day she eats more than 2500 calories, mark that day as 'High Intake'. Print such day.",Calorie intake per day: positive integers; 7 days fixed.,"[
  {
    ""input"": ""Enter calorie intake for each of the 7 days: 2200 2600 2450 2700 2300 2550 2400"",
    ""output"": ""Day 2: High Intake\nDay 4: High Intake\nDay 6: High Intake""
  }
]",Easy,
97,Passenger Fare Discount,"If the passenger is a senior citizen (age ≥ 60) or a child (age ≤ 10), they get a 50% discount. If they are also traveling more than 100 km, give an extra 10% off. Print the final fare from a base fare.",1 ≤ age ≤ 120; distance ≥ 0; base fare ≥ 0,"[
  {
    ""input"": ""Enter age, distance to travel (in km), and base fare: 65 120 1000"",
    ""output"": ""Final Fare: 450.0"",
    ""explanation"": ""Senior citizen → 50% off → ₹500; distance > 100 → 10% off → ₹450""
  }
]",Easy,
98,Meal Recommendation Based on Dietary Preference,"Given a person's dietary choice: If vegetarian, check if they want Indian or Continental cuisine. If non-vegetarian, ask if they prefer chicken or seafood. Based on input, suggest a meal option.",Dietary preference: vegetarian/non-vegetarian; sub-preferences as Indian/Continental or chicken/seafood,"[
  {
    ""input"": ""Enter dietary preference (vegetarian/non-vegetarian): vegetarian\nEnter vegetarian preference (Indian/Continental): Indian"",
    ""output"": ""Suggested Meal: Paneer Butter Masala""
  }
]",Easy,
99,Player Selection Criteria,"A player can be selected if: He/she played at least 10 matches and has an average score ≥ 40 or took more than 15 wickets. If both batting and bowling stats are poor, but fitness score ≥ 90, allow for reserve team.","Matches played, average score, wickets taken, fitness score are integers; matches, wickets, fitness ≥ 0","[
  {
    ""input"": ""Enter matches played, average score, wickets taken, and fitness score: 12 45 10 85"",
    ""output"": ""Status: Selected"",
    ""explanation"": ""Matches ≥ 10 and average score ≥ 40 → eligible for selection.""
  }
]",Easy,
100,Candidate Shortlisting,"A candidate can be shortlisted if: He/she has experience ≥ 3 years in relevant field and has completed a technical test with score ≥ 60. If test score ≥ 90, shortlist directly, regardless of experience. If score is < 60 but experience is ≥ 5 years and holds a certification, add to hold list.",Experience in years ≥ 0; test score 0–100; certification yes/no,"[
  {
    ""input"": ""Enter experience (in years), test score, and certification status (yes/no): 4 65 yes"",
    ""output"": ""Status: Shortlisted"",
    ""explanation"": ""Experience ≥ 3 and test score ≥ 60 → eligible.""
  }
]",Easy,
101,3-Digit Code Lock Mechanism,"You’re given a 3-digit code. If the digits are in ascending order, the box opens. If any two digits are the same digits and all digits are in descending order, the box will be locked.","3-digit code, digits 0-9","[
  {
    ""input"": ""Enter a 3-digit code: 123"",
    ""output"": ""Status: Box Opens"",
    ""explanation"": ""Digits in ascending order → opens.""
  }
]",Easy,
102,Number Guess,"Given a guessed number (1–100): If it’s a prime and even, print 'Rare Guess'. If divisible by 5 and odd → 'Close Guess'. If multiple of 10 → 'Hot Guess'. Else → 'Try again'.",1 ≤ guessed number ≤ 100,"[
  {
    ""input"": ""Enter a guessed number between 1 and 100: 2"",
    ""output"": ""Rare Guess"",
    ""explanation"": ""2 is the only even prime number → 'Rare Guess'.""
  }
]",Easy,
103,Drone Launch and Mode Setting,"Coordinates are given as three numbers (x, y, z). If x < y < z, drone auto-launches. If any two are equal, drone waits for manual approval. If all are equal and divisible by 3, drone initiates stealth mode. Otherwise, drone remains grounded.","x, y, z are integers","[
  {
    ""input"": ""Enter coordinates x, y, z (separated by space): 2 3 5"",
    ""output"": ""Auto-launch"",
    ""explanation"": ""Coordinates are in ascending order → auto-launch.""
  }
]",Easy,
104,Temperature Evaluation,"Input today’s temperature. If it’s below 0°C, print 'Freezing Conditions'. If it’s between 0 and 30: If temperature is divisible by 2 and 3, print 'Pleasant Day'. If it’s an odd number, print 'Mild but Odd'. Else print 'Too Hot!'.","Temperature in °C, integer","[
  {
    ""input"": ""Enter today's temperature (in °C): -5"",
    ""output"": ""Freezing Conditions""
  }
]",Easy,
105,Player Score,"Input the player’s score. If score is divisible by both 4 and 6, print 'Combo Bonus'. If divisible by 4 only, and greater than 100, print 'Quad Master'; else print 'Regular Quad'. If divisible by 6 only and < 50, print 'Lucky Six'.",Player score integer ≥ 0,"[
  {
    ""input"": ""Enter the player's score: 24"",
    ""output"": ""Combo Bonus"",
    ""explanation"": ""24 is divisible by both 4 and 6 → 'Combo Bonus'.""
  }
]",Easy,
106,PIN Status,You are given a 4-digit PIN. If all digits are the same → 'Weak PIN'. If first two digits equal last two digits → 'Mirror PIN'. If sum of digits is even → 'Balanced PIN'. Else → 'Unusual PIN'.,4-digit PIN,"[
  {
    ""input"": ""Enter a 4-digit PIN: 1111"",
    ""output"": ""Weak PIN"",
    ""explanation"": ""All digits are the same → 'Weak PIN'.""
  }
]",Easy,
107,Vehicle Toll,"Input vehicle type code (1=Car, 2=Truck, 3=Bus) and number of axles. If vehicle is Truck and axles > 4 → 'Heavy Truck - Extra Toll'. If vehicle is Bus and axles == 2 → 'Bus - Standard Toll'. If vehicle is Car and axles!= 2 → 'Error: Car with Invalid Axles'. Else → 'Normal Toll Applied'.","Vehicle type code (1,2,3), number of axles integer","[
  {
    ""input"": ""Enter vehicle type code (1=Car, 2=Truck, 3=Bus): 2\nEnter number of axles: 5"",
    ""output"": ""Heavy Truck - Extra Toll"",
    ""explanation"": ""Vehicle type is Truck and number of axles is greater than 4 → 'Heavy Truck - Extra Toll'.""
  }
]",Easy,
108,Longest Consecutive Win Streak,"You play N games. For each game, input result (W for win, L for loss). Count the longest consecutive win streak. At the end, print the length of the longest win streak.","N integer, results as 'W' or 'L'","[
  {
    ""input"": ""Enter number of games (N): 6\nEnter the result for each game (W for Win, L for Loss): W L W W L W"",
    ""output"": ""2"",
    ""explanation"": ""The longest consecutive win streak is 2 (from the second and third games). ""
  }
]",Easy,
109,Temperature Readings Analysis,"Input temperature readings for 7 days. Count how many days had temperatures: Above 35°C → 'Hot Days', Below 10°C → 'Cold Days', The rest → 'Normal Days'. Calculate the average temperature of the week. If more than 3 days were Hot Days and average temp is over 33°C, print 'Heatwave Warning'.",7 temperature readings in °C,"[
  {
    ""input"": ""Enter temperature readings for 7 days: 38 5 20 28 36 33 9"",
    ""output"": ""Hot Days: 3\nCold Days: 2\nNormal Days: 2\nAverage Temperature: 26.71°C\nHeatwave Warning""
  }
]",Easy,
110,Bus Stop Boarding,"A bus stops at N stops. At each stop, a certain number of people get on. If number is 0, no one boarded. Count how many stops had no boarders. At the end, print total number of people boarded and how many stops were empty.",Number of stops N and boarders per stop,"[
  {
    ""input"": ""Enter number of stops: 5\nEnter boarders for stop 1: 10\nEnter boarders for stop 2: 0\nEnter boarders for stop 3: 4\nEnter boarders for stop 4: 0\nEnter boarders for stop 5: 8"",
    ""output"": ""Total people boarded: 22\nEmpty stops: 2""
  }
]",Easy,
111,Inventory Duplicate Finder,A small warehouse receives a shipment list (list of item names). Find and print all items that appear more than once in the shipment.,List of item names,"[
  {
    ""input"": ""Enter items : [\""Chair\"", \""Table\"", \""Lamp\"", \""Chair\"", \""Lamp\"", \""Sofa\""]"",
    ""output"": ""Duplicate items: Chair, Lamp"",
    ""explanation"": ""Chair and Lamp appear more than once.""
  }
]",Easy,
112,Student Name Filter,"From a list of student names, print all names that start and end with a vowel (a, e, i, o, u).",List of student names,"[
  {
    ""input"": ""Enter Names: [\""Anita\"", \""Oscar\"", \""Uma\"", \""John\"", \""Ava\"", \""Eve\""]"",
    ""output"": ""Valid names: Anita, Ava, Eve"",
    ""explanation"": ""These names start and end with vowels.""
  }
]",Easy,
113,Top 3 Scores,You’re given scores of students in a test. Print the top 3 highest unique scores in descending order.,List of scores,"[
  {
    ""input"": ""Enter Scores: [78, 91, 84, 91, 95, 84, 88]"",
    ""output"": ""Top scorers: 95, 91, 88"",
    ""explanation"": ""Remove duplicates, then sort.""
  }
]",Easy,
114,Search Email Domain,"From a list of emails, extract and print only the ones ending with @gmail.com.",List of email addresses,"[
  {
    ""input"": ""Enter Emails: [\""john@gmail.com\"", \""jane@yahoo.com\"", \""mark@gmail.com\"", \""lucy@outlook.com\""]"",
    ""output"": ""Gmail users: john@gmail.com, mark@gmail.com""
  }
]",Easy,
115,Missing Roll Numbers,A class has students with roll numbers from P to Q. Some students are absent. Find the missing roll numbers from the given list.,"Starting roll P, ending roll Q, list of present roll numbers","[
  {
    ""input"": ""Enter the starting and ending roll numbers of students: 1 10\nEnter roll numbers of students present: [1, 2, 4, 5, 7, 9, 10]"",
    ""output"": ""Missing: 3, 6, 8""
  }
]",Easy,
116,Lowest Price Product Finder,"Given a list of products with prices, find the product with the lowest price.","List of (product, price) tuples","[
  {
    ""input"": ""Give details of products: [(\\""Laptop\\"", 45000), (\\""Tablet\\"", 20000), (\\""Phone\\"", 30000), (\\""Mouse\\"", 700)]"",
    ""output"": ""Cheapest Product: Mouse - ₹700"",
    ""explanation"": ""Search through the list to find the product with minimum price.""
  }
]",Easy,
117,Word Frequency from a Paragraph,"Given a paragraph, count how many times each word appears.",Paragraph text,"[
  {
    ""input"": ""Text: \""AI is the future. AI is everywhere.\"""",
    ""output"": ""ai: 2\nis: 2\nthe: 1\nfuture: 1\neverywhere: 1""
  }
]",Easy,
118,Sort Students by Last Name,"Given full names of students, sort them alphabetically by last name.",List of full names,"[
  {
    ""input"": ""Give student names: [\\""Alice Johnson\\"", \\""Bob Smith\\"", \\""Charlie Lee\\""]"",
    ""output"": ""Sorted: Charlie Lee, Alice Johnson, Bob Smith""
  }
]",Easy,
119,Item Quantity Checker,Check if all items in an order are available in stock.,"Stock dictionary, Order dictionary","[
  {
    ""input"": ""Enter Stock details: {\""pen\"": 10, \""pencil\"": 5, \""eraser\"": 0}\nGive Order : {\""pen\"": 3, \""eraser\"": 1}"",
    ""output"": ""Item \""eraser\"" is out of stock.""
  }
]",Easy,
120,Apartment Lights Tracker,"In a smart home, lights in 10 apartments are tracked (1 = ON, 0 = OFF). Write a program to count how many apartments have lights turned ON. ",List of light statuses (0 or 1),"[
  {
    ""input"": ""Enter light status in apartments: [1, 0, 1, 1, 0, 0, 1, 0, 1, 1]"",
    ""output"": ""6 lights are ON""
  }
]",Easy,
121,Cart Cleaner,E-commerce users often add empty items. Remove empty or whitespace-only items from a cart list. ,List of item names,"[
  {
    ""input"": ""Give item Names: [\""shoes\"", \"" \"", \""\"", \""socks\""]"",
    ""output"": ""[\""shoes\"", \""socks\""]""
  }
]",Easy,
122,Coupon Code Validator,Coupons follow a format: 3 letters + 4 digits. Write a function to validate coupon format. ,Coupon code string,"[
  {
    ""input"": ""Enter code: \""ABC1234\"""",
    ""output"": ""Valid""
  },
  {
    ""input"": ""Enter code: \""A1B2C3\"""",
    ""output"": ""Invalid""
  }
]",Easy,
123,Warehouse Box Sorter,"Each box in a warehouse has a label with its weight. Sort boxes by weight (ascending), but keep fragile boxes (marked with F) at the end. ","List of (box label, weight) tuples","[
  {
    ""input"": ""Enter box weights: [(\""Box1\"", 12), (\""Box2-F\"", 10), (\""Box3\"", 5)]"",
    ""output"": ""[Box3, Box1, Box2-F]""
  }
]",Easy,
124,Missed Call Logger,Extract valid 10-digit mobile numbers from a call log string.,Call log string,"[
  {
    ""input"": ""Enter call log: \""Call from 9876543210, missed call from 12345, another from 9988776655\"" "",
    ""output"": ""[\""9876543210\"", \""9988776655\""]""
  }
]",Easy,
125,Room Cleaner Robot,A robot marks rooms as clean (1) or dirty (0). Write a function to count how many rooms need cleaning. ,List of room cleaning status (0 or 1),"[
  {
    ""input"": ""Enter room cleaning status: [1, 0, 1, 0, 0]"",
    ""output"": ""3 rooms need cleaning""
  }
]",Easy,
126,Library Overdue Tracker,"Each borrowed book is stored with days overdue. Count how many books are overdue more than 7 days. 
",List of overdue days,"[
  {
    ""input"": ""Enter overdue days of books: [2, 0, 10, 15, 3, 8]"",
    ""output"": ""3 books overdue > 7 days""
  }
]",Easy,
127,Barcode Scanner Matcher,Match scanned barcodes against a list of valid product codes and print matched codes.,"Two lists: valid codes, scanned codes","[
  {
    ""input"": ""Enter valid product codes: [\""A101\"", \""B203\"", \""C309\""] \nEnter scanned barcodes: [\""C309\"", \""X111\"", \""A101\""]"",
    ""output"": ""Valid scanned: [\""C309\"", \""A101\""]""
  }
]",Easy,
128,Temperature Spike Detector, You are given daily temperatures. Identify if any day saw a spike of 10 degrees or more compared to the previous day. ,List of daily temperatures,"[
  {
    ""input"": ""Enter temperature list: [70, 72, 85, 90, 88]"",
    ""output"": ""Spike detected on day 3""
  }
]",Easy,
129,Trending Hashtag Detector, You're analyzing a list of social media posts to determine trending hashtags. Extract all hashtags and display the top 2 used.,List of social media posts,"[
  {
    ""input"": ""Enter post list: [\"" #fun #code\"", \""#code #learn\"", \""#fun #learn\""]"",
    ""output"": ""Top hashtags: #fun (2), #code (2)""
  }
]",Easy,
130,Currency Symbol Extractor," Given a list of product prices as strings (e.g., ""$12"", ""€8"", ""₹99""), extract all the unique currency",List of price strings with currency symbols,"[
  {
    ""input"": ""Enter prices: [\""$12\"", \""€8\"", \""₹99\"", \""$5\"", \""€12\""]"",
    ""output"": ""Unique symbols: [\""$\"", \""€\"", \""₹\""]""
  }
]",Easy,
131,Cinema Seat Tracker,"A theatre sells tickets and logs seat numbers as they are booked. Sometimes, the same seat is mistakenly booked twice. Identify all duplicate seat numbers. ",List of booked seat numbers,"[
  {
    ""input"": ""Enter booked seat numbers: [101, 102, 104, 101, 105, 102]"",
    ""output"": ""Duplicate seat bookings: [101, 102]""
  }
]",Easy,
132,Leaderboard Position Finder,"Given a sorted list of scores (descending) and a player’s score, find the correct rank they should take. ","Sorted scores list, new player score","[
  {
    ""input"": ""Enter Scores: [100, 98, 92, 88], New score: 95"",
    ""output"": ""Player should be ranked at position: 3""
  }
]",Easy,
133,String Compression,Compress a string by replacing consecutive repeating characters with the character followed by the count. ,Input string,"[
  {
    ""input"": ""Enter string: aaabbcc"",
    ""output"": ""Compressed: a3b2c2""
  }
]",Easy,
134,Custom Sort Words by Vowels,Sort a list of words by the number of vowels in each word (descending). ,List of words,"[
  {
    ""input"": ""Give Words: [\""apple\"", \""hi\"", \""education\"", \""fly\""]"",
    ""output"": ""Sorted by vowels: [\""education\"", \""apple\"", \""hi\"", \""fly\""]""
  }
]",Easy,
135,Reverse Word Order(not letters),"Given a sentence, reverse the order of words without reversing the characters. ",Input sentence,"[
  {
    ""input"": ""Enter Sentence: Data is power"",
    ""output"": ""Reversed: power is Data""
  }
]",Easy,
136,Parking Lot Car Tracker,A parking lot logs car entries and exits using license plate numbers. Identify which cars are still in the lot (entered but not exited).,"Entry car numbers list, Exit car numbers list","[
  {
    ""input"": ""Enter Entry car numbers: [\""KA01AB1234\"", \""KA02XY4321\""]\nEnter Exit car numbers: [\""KA01AB1234\""]"",
    ""output"": ""Cars still inside: [\""KA02XY4321\""]""
  }
]",Easy,
137,Mirror Pair Counter,Count how many pairs of two-digit numbers exist in an array such that one is the reverse of the other (e.g. 23 and 32).,List of two-digit numbers,"[
  {
    ""input"": ""Enter numbers: [21, 13, 31, 12, 45, 54]"",
    ""output"": ""3 pairs""
  }
]",Easy,
138,First Non-Divisible Pair,Find the first pair in a list where the first number is not divisible by the second.,List of number pairs,"[
  {
    ""input"": ""Enter pairs: [(10, 5), (9, 3), (8, 3), (6, 2)]"",
    ""output"": ""(8, 3)""
  }
]",Easy,
139,Majority Index Pattern,Check if element appears more than half times only at even indices.,Array of numbers,"[
  {
    ""input"": ""Enter array: [1, 2, 1, 3, 1, 4]"",
    ""output"": ""1 appears 2 times at indices 0 and 2 → Yes""
  }
]",Easy,
140,Hash Range Mismatch,You're given an array and a hash function h(x) = x % 10. Find any value x such that h(x) is not equal to its index position.,Array of numbers,"[
  {
    ""input"": ""Enter array: [0, 1, 2, 30, 4, 5]"",
    ""output"": ""30 (since 30 % 10 = 0 ≠ index 3)""
  }
]",Easy,
141,Flight Code Organizer,"Flight codes have a number and a letter (e.g., 23B). Sort them by row number and then by seat. ","List of flight codes (e.g., '12A', '23B')","[
  {
    ""input"": ""Enter Flight codes: [\""12A\"", \""23B\"", \""12C\"", \""9D\""]"",
    ""output"": ""[\""9D\"", \""12A\"", \""12C\"", \""23B\""]""
  }
]",Easy,
142,Order Priority Filter,"In an order list, high-priority orders end with!. Move all such orders to the front without changing the relative order. ",List of order items,"[
  {
    ""input"": ""Enter list values: [\""item1\"", \""item2!\"", \""item3\"", \""item4!\""]"",
    ""output"": ""[\""item2!\"", \""item4!\"", \""item1\"", \""item3\""]""
  }
]",Easy,
143,Pattern Mirror Counter,"Count how many strings in a list have a mirrored half, like ""abccba"" or ""1221"".",List of strings,"[
  {
    ""input"": ""Give set of words : [\""abccba\"", \""test\"", \""1221\"", \""hello\""]"",
    ""output"": ""2 mirrored strings""
  }
]",Easy,
144,Bank Queue Optimizer,A queue of people is ordered by arrival time and urgency score. Rearrange to serve the most urgent cases first without violating arrival groups. ,"List of tuples (name, urgency score)","[
  {
    ""input"": ""Enter set of values in pair like (name, urgency score):  [(\""A\"",2), (\""B\"",5), (\""A\"",1), (\""C\"",4)]"",
    ""output"": ""Serve order: [\""B\"", \""C\"", \""A\"", \""A\""]""
  }
]",Easy,
145,Playlist Similarity Checker,You have two user playlists with song IDs. Check if they are at least 70% similar.,Two lists of song IDs,"[
  {
    ""input"": ""Enter first user Playlist = [1, 2, 3, 4, 5]\nEnter second user Playlist = [2, 3, 4, 6, 7]"",
    ""output"": ""Similarity: 60% → Not Similar""
  }
]",Easy,
146,Reorder Log Files,"Given log files with format [id content], reorder them so that all letter-logs come before digit-logs and letter-logs are sorted lexicographically by content. ",List of logs with IDs and content,"[
  {
    ""input"": ""Enter the logs: [\""dig1 8 1 5 1\"", \""let1 art can\"", \""dig2 3 6\"", \""let2 own kit dig\""]"",
    ""output"": ""[\""let1 art can\"", \""let2 own kit dig\"", \""dig1 8 1 5 1\"", \""dig2 3 6\""]""
  }
]",Easy,
147,Warehouse Truck Loader,You have a list of box weights to be loaded into trucks. Each truck can carry a max weight W. Find the minimum number of trucks needed. ,List of box weights and max truck weight,"[
  {
    ""input"": ""weights = [10, 20, 30, 40], W = 50"",
    ""output"": ""3 trucks needed: [10+40], [20+30], []""
  }
]",Easy,
148,Product Price Jump Detector,Track prices of a product over n days. Identify all days where the price jumped by more than 20% compared to the previous day. ,List of daily prices,"[
  {
    ""input"": ""Enter prices: [\""100\"", \""105\"", \""130\"", \""120\"", \""150\""]"",
    ""output"": ""Price jump on: Day 3 (105 → 130), Day 5 (120 → 150)""
  }
]",Easy,
149,Folder Structure Simplifier,"Given an absolute file path, simplify it by resolving ""."" (current directory), "".."" (parent directory), and extra slashes. Return the cleaned-up path as it would appear in a real file system ",Absolute file path string,"[
  {
    ""input"": ""Enter file path: \""/usr/bin/../lib/./python/\"""",
    ""output"": ""Simplified path: \""/usr/lib/python\"""",
    ""explanation"": ""The path '/usr/bin/../lib/./python/' is simplified by resolving '..' to move up from 'bin' to 'usr', keeping '.' as the current directory 'lib', and removing the trailing slash, resulting in '/usr/lib/python'.""
  }
]",Easy,
150,Document Word Replacer,"Given a document and a dictionary of replacements, replace every word found in the dictionary.",Text string and dictionary of replacements,"[
  {
    ""input"": ""Text: \""He is very quick and smart\"", Replacements: { \""quick\"": \""fast\"", \""smart\"": \""intelligent\"" }"",
    ""output"": ""He is very fast and intelligent""
  }
]",Easy,
151,Balanced Fruit Counter,"N fruits are weighed (integer grams). If a fruit’s weight is less than the previous one but more than the next, it’s a ""balanced fruit."" Count balanced fruits ",Number of fruits and list of weights,"[
  {
    ""input"": ""Enter number of fruits: 7\nEnter weights of 7 fruits: 100 90 80 85 70 95 60"",
    ""output"": ""Number of balanced fruits: 2""
  }
]",Moderate,
152,Memory Guess Scoring,"Users are shown N numbers one after another. Each number is to be memorized, and the user guesses the number (simulated). If guessed correctly → +2 points If off by ±1 → +1 point Otherwise → 0 Give total score and number of exact matches. ","Number of values, original numbers list, guessed numbers list","[
  {
    ""input"": ""Give value for N: 5\nEnter original numbers: 5 7 3 9 6\nEnter guessed numbers: 5 8 2 9 5"",
    ""output"": ""Total Score: 8\nExact Matches: 2""
  }
]",Moderate,
153,Runner Speed Monitor,"A runner’s speed is recorded every minute for N minutes: If speed increases consecutively minimum 3 times → ""Sprint Detected"" If speed drops below 4 → ""Slow Down Alert"" Track the number of sprints and slowdowns. ",Number of minutes and speed list,"[
    {
      ""input"": ""11\n3 4 5 6 3 2 5 6 7 2 1"",
      ""output"": ""Sprints Detected: 2\nSlow Down Alerts: 4"",
      ""explanation"": ""Sprint 1: 3→4→5→6\nSprint 2: 5→6→7\nSlow Down Alerts: speeds below 4: 3, 3, 2, 2, 1 → counted as 4 alerts (repeated values only once per minute)""
    }
  ]",Moderate,
154,Weightlifting Progress,"Given the weights lifted across N sessions: If weight > previous → ""New Record"" If weight == previous → ""Maintained"" If weight < previous → ""Drop in Performance"" Print trend for each session and count total records broken.",Number of sessions and weights lifted list,"[
    {
      ""input"": ""6\n50 55 55 53 60 60"",
      ""output"": ""New Record\nMaintained\nDrop in Performance\nNew Record\nMaintained\nTotal Records Broken: 2"",
      ""explanation"": ""55 > 50 → New Record\n55 == 55 → Maintained\n53 < 55 → Drop\n60 > 53 → New Record\n60 == 60 → Maintained\nTotal 'New Record' entries = 2 so total Broken: 2""
    }
  ]",Moderate,
155,Biker Crossing Counter,"A line of bikers is moving along a road. Each biker is either going north or south. We have a record that shows the direction each biker is going, in the order they appear on the road. If a biker going north is followed later by a biker going south, they will cross paths. Your task is to count how many such crossing pairs there are. ",Sequence of directions (N/S),"[
    {
      ""input"": ""N N S N S S"",
      ""output"": ""8"",
      ""explanation"": ""First N pairs with 3 S → 3\nSecond N pairs with 3 S → 3\nThird N pairs with 2 S → 2\nTotal crossings = 8""
    }
  ]",Moderate,
156,Bounce Counter,A ball bounces up and down. 'U' means up and 'D' means down. Count how many complete bounces it made (a bounce = one up followed by one down ,Bounce sequence string,"[
  {
    ""input"": ""Enter the bounce sequence using 'U' for up and 'D' for down: U D U D D U U D"",
    ""output"": ""Total complete bounces: 3""
  }
]",Moderate,
157,Burst Bubble Filter,A chain of soap bubbles is represented as a string of characters. A bubble bursts if it's surrounded by bubbles of a different type. Remove all such burst bubbles and return the new chain. ,String representing bubble chain,"[
    {
      ""input"": ""AABACDA"",
      ""output"": ""AA A"",
      ""explanation"": ""Position 0: 'A' → no left neighbor → keep\nPosition 1: 'A' → left='A', right='B' → not different on both sides → keep\nPosition 2: 'B' → left='A', right='A' → both neighbors different → burst\nPosition 3: 'A' → left='B', right='C' → both different → burst\nPosition 4: 'C' → left='A', right='D' → both different → burst\nPosition 5: 'D' → left='C', right='A' → both different → burst\nPosition 6: 'A' → no right neighbor → keep""
    }
  ]",Moderate,
158,Warehouse Temperature Alert,"A sensor records the temperature inside a warehouse every minute. A cooling system triggers an alert if there are 3 or more consecutive readings above 70°C. Given the series of temperature readings, determine if an alert should be triggered. ",Number of readings and list of temperatures,"[
  {
    ""input"": ""Enter number of readings: 10\nEnter temperature readings: 68 72 74 75 69 71 72 73 74 65"",
    ""output"": ""Alert Triggered!""
  }
]",Moderate,
159,Faulty Elevator Buttons,"An elevator panel has buttons labeled 1 to N. However, due to a wiring issue, pressing a button labeled with a number divisible by 3 or containing digit 3 sends the elevator to the wrong floor. How many such buttons are faulty?",Value of N,"[
    {
      ""input"": ""25"",
      ""output"": ""Number of faulty buttons: 10\nFaulty buttons: 3, 6, 9, 12, 13, 15, 18, 21, 23, 24"",
      ""explanation"": ""Divisible by 3: 3, 6, 9, 12, 15, 18, 21, 24\nContaining digit 3: 13, 23\nTotal faulty buttons = 10""
    }
  ]",Moderate,
160,Billboard Countdown with Skipped Repeats,"A digital billboard counts down numbers every minute from a given starting value to zero. However, a malfunction causes it to skip displaying numbers that have repeating digits (like 11, 22, 121). Given the starting number, print the sequence of valid numbers shown on the billboard. ",Starting number,"[
  {
    ""input"": ""Enter starting number: 15"",
    ""output"": ""15 14 13 12 10 9 8 7 6 5 4 3 2 1 0""
  }
]",Moderate,
161,Valid Digital Capsule Unlock Codes,"A digital capsule can only be unlocked with a 4-digit code where the sum of digits is even, the digits are all unique, and the number doesn’t contain 0. How many valid unlock codes exist between 1000 and 9999 that meet these conditions? ",Range 1000 to 9999,"[
  {
    ""input"": ""Calculate count of valid 4-digit unlock codes with no zero digits, all unique digits, and even sum of digits"",
    ""output"": ""Number of valid unlock codes: <calculated_count>""
  }
]",Moderate,
162,Even-Odd Follow-Up Sequence,"Given an array of integers, construct a new sequence where every even number is followed by an odd number that is greater than it. If no such odd exists for a particular event, skip it. Output the new sequence.",List of integers,"[
  {
    ""input"": ""Enter numbers: [4, 7, 2, 6, 5, 9]"",
    ""output"": ""[4, 7, 2, 5, 6, 9]""
  }
]",Moderate,
163,Custom Word Sorter,"Sort a list of words by their length, and if equal, by alphabetical order. ",List of words,"[
  {
    ""input"": ""Give Words: [\""pear\"", \""apple\"", \""kiwi\"", \""banana\"", \""fig\""]"",
    ""output"": ""fig, kiwi, pear, apple, banana""
  }
]",Moderate,
164,Sort Events by Date,"You're given a list of event records as strings like ""2024-09-15: Hackathon"". Sort and print the events by date.",List of event strings,"[
  {
    ""input"": ""Enter the list of events: [\""2024-12-01: Christmas Party\"", \""2024-09-15: Hackathon\"", \""2024-10-01: Tech Talk\""]"",
    ""output"": ""2024-09-15: Hackathon, 2024-10-01: Tech Talk, 2024-12-01: Christmas Party""
  }
]",Moderate,
165,Remove Outdated Tasks,"From a list of task due dates, remove all tasks that are already past the current date ",List of dated tasks; current date 2025-05-19,"[
  {
    ""input"": ""Enter task due dates: [\""2025-04-01: Submit Report\"", \""2025-06-01: Project Review\"", \""2025-05-10: Update Website\""]"",
    ""output"": ""2025-06-01: Project Review""
  }
]",Moderate,
166,Group Students by First Letter,Group student names by their starting alphabet. ,List of student names,"[
  {
    ""input"": ""Enter names of students: [\""Alice\"", \""Ankit\"", \""Bob\"", \""Bryan\"", \""Charlie\"", \""Catherine\""]"",
    ""output"": ""A: Alice, Ankit\nB: Bob, Bryan\nC: Charlie, Catherine"",
    ""explanation"": ""Use a map or dictionary with the first letter as key.""
  }
]",Moderate,
